name,url,country,Population,article_title,revision_id,prediction
Mohammed Qalamuddin,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,afghanistan,42.4,Mohammed Qalamuddin,1178097642.0,Stub
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,afghanistan,42.4,Ghulam Mohammad Rigi,1129192917.0,Stub
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,afghanistan,42.4,Ghulam Hassan Safi,1176507815.0,Stub
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,afghanistan,42.4,Hanifa Safi,1123824802.0,Stub
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,afghanistan,42.4,Mohammed Zia Salehi,1225457074.0,Stub
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,afghanistan,42.4,Abdul Majid Samim,1225425205.0,Stub
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,afghanistan,42.4,Saber Sangar,1227951669.0,Stub
Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,afghanistan,42.4,Sayed Nasim Mihanparast,1172646418.0,Stub
Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,afghanistan,42.4,Suhail Shaheen,1198363158.0,Start
Fazal Hadi Shinwari,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,afghanistan,42.4,Fazal Hadi Shinwari,1242412237.0,GA
Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,afghanistan,42.4,Baktash Siawash,1250972393.0,Stub
Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,afghanistan,42.4,Hasan Ali Sultani,1136614726.0,Stub
Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,afghanistan,42.4,Mohammad Hashem Taufiqui,1233490009.0,Start
Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,afghanistan,42.4,Pacha Gul Wafadar,1227179979.0,Stub
Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,afghanistan,42.4,Wahidullah Waissi,1232389768.0,C
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,afghanistan,42.4,Ahmadullah Wasiq,1171042170.0,Start
Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,afghanistan,42.4,Gul Ahmmad Yama,1136614561.0,Start
Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,afghanistan,42.4,Abdul Salam Zaeef,1243758857.0,GA
Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),afghanistan,42.4,Abdul Zahir (Konar Education Minister),1126667481.0,Stub
Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,afghanistan,42.4,Mohammed Zaman,1229734414.0,Start
Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),afghanistan,42.4,Ziauddin (Afghan militia leader),1150044800.0,Start
Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,afghanistan,42.4,Qari Ziauddin,1245217124.0,Start
Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,afghanistan,42.4,Abdul Ghafor Zori,1136614520.0,Stub
Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,albania,2.7,Ali Pasha of Gusinje,1244421894.0,GA
Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,albania,2.7,Ylli Asllani,1221605713.0,Start
Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,albania,2.7,Azis Tahir Ajdonati,1192928746.0,Stub
Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,albania,2.7,Bislim Bajgora,1217284690.0,C
Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,albania,2.7,Kastriot Berissa,1244463139.0,Start
Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,albania,2.7,Bardhok Biba,1250227174.0,C
Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,albania,2.7,Kostandin Boshnjaku,1250227994.0,C
Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,albania,2.7,Spartak Braho,1224650124.0,Start
Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,albania,2.7,Safet Butka,1189442848.0,C
Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,albania,2.7,Uran Butka,1196422551.0,Start
Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,albania,2.7,Refo Çapari,1222381064.0,Start
Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,albania,2.7,Neritan Ceka,1184807608.0,Start
Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,albania,2.7,Hysni Curri,1198914812.0,Start
Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,albania,2.7,Ibrahim Dalliu,1248264998.0,Start
Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,albania,2.7,Niazi Demi,1209346411.0,Stub
Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,albania,2.7,Abdurrahman Dibra,1244008227.0,Start
Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,albania,2.7,Bujar Dida,1222151681.0,C
Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,albania,2.7,Ahmed Dino,1209165678.0,Stub
Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,albania,2.7,Rasih Dino,1180949327.0,Stub
Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,albania,2.7,Ferhat Bey Draga,1236738861.0,C
Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,albania,2.7,Nexhip Draga,1236738502.0,GA
Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,albania,2.7,Aqif Pasha Elbasani,1243882903.0,GA
Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,albania,2.7,Abas Ermenji,1240801210.0,Start
Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,albania,2.7,Qamil Musa Haxhi Feza,1198224146.0,Stub
Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,albania,2.7,Themistokli Gërmenji,1241037317.0,C
Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,albania,2.7,Sabri Godo,1230739582.0,C
Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,albania,2.7,Mihal Grameno,1226635783.0,C
Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,albania,2.7,Aćif Hadžiahmetović,1229938943.0,GA
High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,albania,2.7,High Council of Regency,1245450388.0,C
Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,albania,2.7,Kurt Agë Kadiu,1244486529.0,Stub
Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,albania,2.7,Mehmed Kalakula,1145510350.0,Stub
Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,albania,2.7,Alfred Karamuço,1098236555.0,Stub
Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,albania,2.7,Ibrahim Karbunara,1235824719.0,C
Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,albania,2.7,Ali Këlcyra,1227369252.0,Start
Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,albania,2.7,Bajram Kelmendi,1237006808.0,Start
Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,albania,2.7,Kristo Kirka,1237950375.0,C
Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,albania,2.7,Elez Koçi,1174010569.0,Start
Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,albania,2.7,Xhelal Koprëncka,1209148780.0,Stub
Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,albania,2.7,Kryeziu family,1236739222.0,Start
Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,albania,2.7,Artur Kuko,1112281132.0,Stub
Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,albania,2.7,Xhavid Leskoviku,1180950536.0,Start
Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,albania,2.7,Sabit Lulo,1180950488.0,Stub
Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,albania,2.7,Gjon Markagjoni,1227760361.0,C
Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,albania,2.7,Tefik Mborja,1234673487.0,Start
Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,albania,2.7,Hysni Milloshi,1218412314.0,Start
Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,albania,2.7,Musa Qazimi,1235824584.0,GA
Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,albania,2.7,Mustafa Ndroqi,1198219291.0,Stub
Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,albania,2.7,Behxhet Nepravishta,1180949734.0,Stub
Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,albania,2.7,Adrian Neritani,1196135017.0,Start
Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,albania,2.7,Sali Nivica,1240539074.0,Start
Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,albania,2.7,Thoma Orologa,1180949774.0,Start
Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,albania,2.7,Bedri Pejani,1220757655.0,C
Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,albania,2.7,Kadri Prishtina,1198167947.0,Start
Ymer Prizreni,https://en.wikipedia.org/wiki/Ymer_Prizreni,albania,2.7,Ymer Prizreni,1215667416.0,Start
Avni Rustemi,https://en.wikipedia.org/wiki/Avni_Rustemi,albania,2.7,Avni Rustemi,1229276965.0,Start
Chatin Sarachi,https://en.wikipedia.org/wiki/Chatin_Sarachi,albania,2.7,Chatin Sarachi,1141930406.0,C
Nebi Sefa,https://en.wikipedia.org/wiki/Nebi_Sefa,albania,2.7,Nebi Sefa,1244486537.0,Stub
Eduard Shalsi,https://en.wikipedia.org/wiki/Eduard_Shalsi,albania,2.7,Eduard Shalsi,1173107489.0,Start
Ylli Vesel Shehu,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,albania,2.7,Ylli Vesel Shehu,1250811470.0,Stub
Athanas Shundi,https://en.wikipedia.org/wiki/Athanas_Shundi,albania,2.7,Athanas Shundi,1220369492.0,C
Xhelal Sveçla,https://en.wikipedia.org/wiki/Xhelal_Sveçla,albania,2.7,Xhelal Sveçla,1217259369.0,Start
Mehmet Tahsini,https://en.wikipedia.org/wiki/Mehmet_Tahsini,albania,2.7,Mehmet Tahsini,1239924043.0,Stub
Ibrahim Temo,https://en.wikipedia.org/wiki/Ibrahim_Temo,albania,2.7,Ibrahim Temo,1228151428.0,GA
Afrim Tole,https://en.wikipedia.org/wiki/Afrim_Tole,albania,2.7,Afrim Tole,1241836925.0,Stub
Syreja Vlora,https://en.wikipedia.org/wiki/Syreja_Vlora,albania,2.7,Syreja Vlora,1186986269.0,Start
Visarion Xhuvani,https://en.wikipedia.org/wiki/Visarion_Xhuvani,albania,2.7,Visarion Xhuvani,1135323365.0,C
