name,country,Population,revision_id,article_quality,Region,Region_Population
Abdurrahman Dibra,albania,2.7,1244008227.0,Start,SOUTHERN EUROPE,152.0
Bujar Dida,albania,2.7,1222151681.0,C,SOUTHERN EUROPE,152.0
Ahmed Dino,albania,2.7,1209165678.0,Stub,SOUTHERN EUROPE,152.0
Rasih Dino,albania,2.7,1180949327.0,Stub,SOUTHERN EUROPE,152.0
Ferhat Bey Draga,albania,2.7,1236738861.0,C,SOUTHERN EUROPE,152.0
Nexhip Draga,albania,2.7,1236738502.0,GA,SOUTHERN EUROPE,152.0
Aqif Pasha Elbasani,albania,2.7,1243882903.0,GA,SOUTHERN EUROPE,152.0
Abas Ermenji,albania,2.7,1240801210.0,Start,SOUTHERN EUROPE,152.0
Qamil Musa Haxhi Feza,albania,2.7,1198224146.0,Stub,SOUTHERN EUROPE,152.0
Themistokli Gërmenji,albania,2.7,1241037317.0,C,SOUTHERN EUROPE,152.0
Sabri Godo,albania,2.7,1230739582.0,C,SOUTHERN EUROPE,152.0
Mihal Grameno,albania,2.7,1226635783.0,C,SOUTHERN EUROPE,152.0
Aćif Hadžiahmetović,albania,2.7,1229938943.0,GA,SOUTHERN EUROPE,152.0
High Council of Regency,albania,2.7,1245450388.0,C,SOUTHERN EUROPE,152.0
Kurt Agë Kadiu,albania,2.7,1244486529.0,Stub,SOUTHERN EUROPE,152.0
Mehmed Kalakula,albania,2.7,1145510350.0,Stub,SOUTHERN EUROPE,152.0
Alfred Karamuço,albania,2.7,1098236555.0,Stub,SOUTHERN EUROPE,152.0
Ibrahim Karbunara,albania,2.7,1235824719.0,C,SOUTHERN EUROPE,152.0
Ali Këlcyra,albania,2.7,1227369252.0,Start,SOUTHERN EUROPE,152.0
Bajram Kelmendi,albania,2.7,1237006808.0,Start,SOUTHERN EUROPE,152.0
Kristo Kirka,albania,2.7,1237950375.0,C,SOUTHERN EUROPE,152.0
Elez Koçi,albania,2.7,1174010569.0,Start,SOUTHERN EUROPE,152.0
Xhelal Koprëncka,albania,2.7,1209148780.0,Stub,SOUTHERN EUROPE,152.0
Kryeziu family,albania,2.7,1236739222.0,Start,SOUTHERN EUROPE,152.0
Artur Kuko,albania,2.7,1112281132.0,Stub,SOUTHERN EUROPE,152.0
Xhavid Leskoviku,albania,2.7,1180950536.0,Start,SOUTHERN EUROPE,152.0
Sabit Lulo,albania,2.7,1180950488.0,Stub,SOUTHERN EUROPE,152.0
Gjon Markagjoni,albania,2.7,1227760361.0,C,SOUTHERN EUROPE,152.0
Tefik Mborja,albania,2.7,1234673487.0,Start,SOUTHERN EUROPE,152.0
Hysni Milloshi,albania,2.7,1218412314.0,Start,SOUTHERN EUROPE,152.0
Musa Qazimi,albania,2.7,1235824584.0,GA,SOUTHERN EUROPE,152.0
Mustafa Ndroqi,albania,2.7,1198219291.0,Stub,SOUTHERN EUROPE,152.0
Behxhet Nepravishta,albania,2.7,1180949734.0,Stub,SOUTHERN EUROPE,152.0
Adrian Neritani,albania,2.7,1196135017.0,Start,SOUTHERN EUROPE,152.0
Sali Nivica,albania,2.7,1240539074.0,Start,SOUTHERN EUROPE,152.0
Thoma Orologa,albania,2.7,1180949774.0,Start,SOUTHERN EUROPE,152.0
Bedri Pejani,albania,2.7,1220757655.0,C,SOUTHERN EUROPE,152.0
Kadri Prishtina,albania,2.7,1198167947.0,Start,SOUTHERN EUROPE,152.0
Ymer Prizreni,albania,2.7,1215667416.0,Start,SOUTHERN EUROPE,152.0
Avni Rustemi,albania,2.7,1229276965.0,Start,SOUTHERN EUROPE,152.0
Chatin Sarachi,albania,2.7,1141930406.0,C,SOUTHERN EUROPE,152.0
Nebi Sefa,albania,2.7,1244486537.0,Stub,SOUTHERN EUROPE,152.0
Eduard Shalsi,albania,2.7,1173107489.0,Start,SOUTHERN EUROPE,152.0
Ylli Vesel Shehu,albania,2.7,1250811470.0,Stub,SOUTHERN EUROPE,152.0
Athanas Shundi,albania,2.7,1220369492.0,C,SOUTHERN EUROPE,152.0
Xhelal Sveçla,albania,2.7,1217259369.0,Start,SOUTHERN EUROPE,152.0
Mehmet Tahsini,albania,2.7,1239924043.0,Stub,SOUTHERN EUROPE,152.0
Ibrahim Temo,albania,2.7,1228151428.0,GA,SOUTHERN EUROPE,152.0
Afrim Tole,albania,2.7,1241836925.0,Stub,SOUTHERN EUROPE,152.0
Syreja Vlora,albania,2.7,1186986269.0,Start,SOUTHERN EUROPE,152.0
Visarion Xhuvani,albania,2.7,1135323365.0,C,SOUTHERN EUROPE,152.0
Visar Ymeri,albania,2.7,1248230838.0,Stub,SOUTHERN EUROPE,152.0
Abdyl Ypi,albania,2.7,1220281072.0,Stub,SOUTHERN EUROPE,152.0
Xhezair Zaganjori,albania,2.7,1143896123.0,Start,SOUTHERN EUROPE,152.0
Menduh Zavalani,albania,2.7,1235824554.0,FA,SOUTHERN EUROPE,152.0
Abdelkader Zoukh,algeria,46.8,1250270534.0,Start,NORTHERN AFRICA,256.0
Chaâbane Aït Abderrahim,algeria,46.8,1234096174.0,Start,NORTHERN AFRICA,256.0
Ali Aoun,algeria,46.8,1214835889.0,Start,NORTHERN AFRICA,256.0
Basma Azouar,algeria,46.8,1192088820.0,Stub,NORTHERN AFRICA,256.0
Mohamed Seghir Babes,algeria,46.8,1226280389.0,Stub,NORTHERN AFRICA,256.0
Noureddine Bahbouh,algeria,46.8,1099284595.0,Stub,NORTHERN AFRICA,256.0
Lamine Bechichi,algeria,46.8,1111537825.0,Stub,NORTHERN AFRICA,256.0
Aïssa Bekkai,algeria,46.8,1219685755.0,Stub,NORTHERN AFRICA,256.0
Abdelhakim Belabed,algeria,46.8,1218173615.0,Start,NORTHERN AFRICA,256.0
