title,page_id,lastrevid,talkid,length,url,watched,watchers
Ibrahim Karbunara,65554476,1235824719,65554479,6097.0,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,,
Ali Këlcyra,26297658,1227369252,26297670,4468.0,https://en.wikipedia.org/wiki/Ali_K%C3%ABlcyra,,
Bajram Kelmendi,17273406,1237006808,20374855,3308.0,https://en.wikipedia.org/wiki/Bajram_Kelmendi,,
Kristo Kirka,44712134,1237950375,46645223,8100.0,https://en.wikipedia.org/wiki/Kristo_Kirka,,
Elez Koçi,18022058,1174010569,18500214,3225.0,https://en.wikipedia.org/wiki/Elez_Ko%C3%A7i,,
Xhelal Koprëncka,19887745,1209148780,26930100,906.0,https://en.wikipedia.org/wiki/Xhelal_Kopr%C3%ABncka,,
Kryeziu family,40795168,1236739222,43418683,6395.0,https://en.wikipedia.org/wiki/Kryeziu_family,,
Artur Kuko,31509315,1112281132,31511307,1046.0,https://en.wikipedia.org/wiki/Artur_Kuko,,
Xhavid Leskoviku,70365511,1180950536,70365638,4155.0,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,,
Sabit Lulo,28362818,1180950488,28362829,1206.0,https://en.wikipedia.org/wiki/Sabit_Lulo,,
Gjon Markagjoni,10398792,1227760361,10870133,8382.0,https://en.wikipedia.org/wiki/Gjon_Markagjoni,,
Tefik Mborja,25589553,1234673487,25686639,5121.0,https://en.wikipedia.org/wiki/Tefik_Mborja,,
Hysni Milloshi,22352985,1218412314,22352989,4308.0,https://en.wikipedia.org/wiki/Hysni_Milloshi,,
Musa Qazimi,58108950,1235824584,58121089,16548.0,https://en.wikipedia.org/wiki/Musa_Qazimi,,
Mustafa Ndroqi,32349706,1198219291,35706112,2240.0,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,,
Behxhet Nepravishta,30070258,1180949734,30070294,2452.0,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,,
Adrian Neritani,5494953,1196135017,6283560,3353.0,https://en.wikipedia.org/wiki/Adrian_Neritani,,
Sali Nivica,33944243,1240539074,33953289,7540.0,https://en.wikipedia.org/wiki/Sali_Nivica,,
Thoma Orologa,30250352,1180949774,30250357,4344.0,https://en.wikipedia.org/wiki/Thoma_Orologa,,
Bedri Pejani,19888020,1220757655,25801788,14573.0,https://en.wikipedia.org/wiki/Bedri_Pejani,,
Kadri Prishtina,41883528,1198167947,52543605,6257.0,https://en.wikipedia.org/wiki/Kadri_Prishtina,,
Ymer Prizreni,15757646,1215667416,25873501,5524.0,https://en.wikipedia.org/wiki/Ymer_Prizreni,,
Avni Rustemi,14069803,1229276965,20626519,3766.0,https://en.wikipedia.org/wiki/Avni_Rustemi,,
